"customer","tier","signed_date","acv_at_signing_m","products_used","contract_term_months","renewal_date","expansion_events","churn_date","churn_reason","current_acv_m","notes"
"Harvey","A","2026-12-10","0.15","Cloud, Inference","24","2028-12-10","2028-06: expanded to Train (+$0.3M ACV); 2029-09: reserved-capacity upgrade (+$1.2M); 2031-04: Tier 1 strategic account (+$4M); 2032-01: multi-year renewal at $12M ACV","","","18.9","Legal-AI. Conviction-portfolio referral. Largest customer by ACV Q4 2033 (fact F-0167). Angela Holmes exec sponsor (fact F-0209)."
"Cursor","A","2028-05-15","0.8","Cloud, Train","12","2029-05-15","2029-08: expanded to 8-GPU reserved cluster (+$1.5M); 2030-08: post-IPO expansion (+$3M)","","","8.2","AI coding editor. Migration-threat arc Jan 2030 (F-0260/F-0261/F-0262). 22% discount applied. Stayed + expanded Q3 2030 (F-0263). Pricing-sensitive."
"Civitai","A","2029-09-01","0.4","Cloud, Marketplace, Train","12","2030-09-01","2030-06: creator-platform-tier pricing (+$0.8M); 2031-12: multi-year renewal at $2.5M","","","3.2","Creator platform. LoRA training workloads. Mixed Cloud + Marketplace usage pattern."
"Decart","A","2030-09-15","1.2","Cloud, Inference","24","2032-09-15","2032-03: expanded to multi-region (+$2M)","","","4.8","AI video. Post-IPO customer. Signed after IPO-roadshow meeting."
"Shopify","A","2031-04-14","3.5","Cloud, Train, Inference","36","2034-04-14","","","Spend reduction 30% for FY2034 communicated Q2 2033 EBR (F-0306). Not disclosed to investors (F-0307).","2.4","Enterprise. Large ACV but signaling reduction. Angela Holmes exec sponsor (F-0209)."
"Pika","A (churned)","2027-03-15","0.2","Cloud, Train","12","2028-03-15","2028-06: renewal + expansion to $0.6M; 2029-03: renewal at $1.1M; 2030-03: renewal at $1.8M","2031-12-31","Discovered 8% overpricing vs comparable customer (F-0264). Migrated to Lambda.","0","Video-gen. First named Tier A customer (after Harvey). Churned Dec 2031."
"Fireworks AI","B","2029-08-30","0.5","Train, Inference","12","2030-08-30","2031-01: expanded to $1.2M","","","1.8","Inference-infra company. Multi-cloud strategy. RL training workloads."
"Black Forest Labs","B (churned)","2027-06-15","0.15","Cloud, Train","12","2028-06-15","2028-12: renewed at $0.4M; 2029-12: renewed at $0.8M","2030-12-31","Moved training to hyperscaler-tier provider for scale reasons.","0","Image-gen model house. Training workloads only."
"Mistral AI","B (churned)","2027-09-05","0.3","Cloud, Train","6","2028-03-05","","2028-07-31","Migrated to hyperscaler-tier providers as Mistral scaled past Echoblast's capacity.","0","Foundation-model lab. Short-term overflow fine-tuning capacity."
"Baseten","B","2030-01-28","0.4","Inference","24","2032-01-28","2032-06: expanded to multi-region interop at $0.9M","","","1.2","Inference-infra partnership. Multi-cloud capacity interoperability."
"Replit","B","2028-10-09","0.3","Cloud","12","2029-10-09","2030-01: expanded to $0.6M; 2031-06: expanded to $1.1M","","","1.4","Sandbox-execution compute. Dev-tools."
"Fortune 100 industrial (unnamed)","Strategic","2032-06-15","5.0","Cloud, Train, Inference","36","","","","","7.5","Largest enterprise by committed rev. Identity not publicly disclosed (fact F-0181). T3 fact."
"Oracle Cloud Infrastructure","B","2032-01-15","1.0","Cloud (joint workload access)","24","","","","","1.5","Strategic partnership. Not publicly announced until Mar 2032 (fact F-0214). T3 fact."
